Step Temperature Density Enthalpy
0 5600.0000000000127329 6.0817303562693636465 -20111.38511610704154
50 2331.8235650241367694 6.0367627738668589998 -17707.077017758674629
100 2288.9844877833206738 5.9185444414233225885 -19046.195582026317425
150 2343.4396153171396691 5.8147463238855525702 -20280.497551981501601
200 2377.368646593351059 5.7382360272761587794 -21207.430930797014298
250 2423.4662802503066814 5.6746782539155278258 -21967.063203955978679
300 2373.1406231712535373 5.6250178222423290464 -22458.085079710606806
350 2351.2589090474516524 5.5906690079064631504 -22776.589331067323656
400 2356.9433939603432009 5.5700711890991758679 -22975.417241776911396
450 2358.5986341316261132 5.5604311914048079046 -23123.654079587347951
500 2376.7537800991040058 5.5597848505406242126 -23124.723129886384413
550 2356.3797451077762162 5.5659369884488638647 -23015.877767848232907
600 2365.0811966207697878 5.5758831550478555883 -22915.749405414302601
650 2366.7400658247206593 5.5869602911792410893 -22825.368074180805706
700 2350.2947167669531154 5.5976170619941685302 -22730.829369197766937
750 2384.4891393251459704 5.6065829863277869549 -22594.769705958638951
800 2405.5856395679916204 5.6125290892193753223 -22549.049990127914498
850 2389.5663290928459901 5.6149071134270247541 -22508.527604357335804
900 2376.5055987107102737 5.6139807479448062821 -22506.59248982092322
950 2371.824133201209861 5.610459241526300822 -22535.828310756125575
1000 2376.4565136283699758 5.6051931143842725902 -22613.928371156711364
1050 2408.7160984101597023 5.5997252362930325376 -22728.603791814733995
1100 2383.5656696386090516 5.5955820990174141016 -22771.295284966836334
1150 2358.1623334853511551 5.5931176168472953592 -22755.537142668817978
1200 2366.5505860843131813 5.5919934245841123044 -22750.044054644371499
1250 2371.0782603498118988 5.591974062680048263 -22755.806045480010653
1300 2352.2134639255018556 5.5928707977778797655 -22732.873806406063522
1350 2361.3519414266479544 5.5942747121588141113 -22745.567817483653926
1400 2382.6332654161119535 5.5963968666600738544 -22722.461944657443382
1450 2362.6736425844724181 5.599106636764865641 -22685.239742443929572
1500 2364.6770087932704882 5.6016359120160483798 -22660.352083154619322
1550 2333.9622700272848306 5.603509340653773485 -22622.239134065250255
1600 2355.4715180509501806 5.6044641841626923195 -22646.712233852809732
1650 2411.7020539410896163 5.6045622713071301391 -22709.313314988601633
1700 2387.85136813464851 5.6041967482179462223 -22627.03820812255799
1750 2310.066063195463812 5.6029379378185186766 -22642.291501787789457
1800 2324.1151937870440634 5.6012094293996552707 -22646.224743062961352
1850 2345.6212707607915036 5.59914851839804939 -22681.108284755151544
1900 2374.5536158282297947 5.5969024457861253907 -22739.703252250845253
1950 2376.8505638596802783 5.5951312298340587503 -22728.555523944360175
2000 2382.8665517939889469 5.5940797187709669913 -22767.112644036227721
2050 2374.8875875326521054 5.5940726636438107278 -22756.198417258998234
2100 2334.5531091240550268 5.5948026935246879532 -22650.584777287964243
2150 2389.4416731177811926 5.5955691568244256828 -22740.631204549958056
2200 2384.6496492850315008 5.5970885033891883964 -22729.589735961555562
2250 2375.2779125701267731 5.5990450866912988559 -22689.692620198620716
2300 2353.6716414935090143 5.6008661887889319431 -22658.204298062955786
2350 2357.6013489413530806 5.6022706346000852307 -22647.672170144262054
2400 2388.9851155283890876 5.6032424959458371205 -22684.963490922691562
2450 2361.0664123933570409 5.6035986754960873668 -22636.278742433049047
2500 2363.0300155544591689 5.6028048816828368572 -22674.871275606874406
2550 2359.2712005524413144 5.6016288548803068181 -22670.437131252641848
2600 2390.7106874906244229 5.6001628122218125583 -22661.910420003696345
2650 2388.7597952032369903 5.5983797318081496286 -22747.507457296091161
2700 2338.0150946872709028 5.5970839639238967322 -22686.496191035017546
2750 2329.0996163095637712 5.5960354418504767438 -22703.647248214027059
2800 2337.1095066569100709 5.5955143282540635852 -22729.935865597166412
2850 2407.5073998276002385 5.5955733698612721838 -22795.519068605659413
2900 2356.7218436981283958 5.5967274432836200404 -22724.042079564918822
2950 2352.7596821519850891 5.5985673842523464572 -22707.035256745333754
3000 2357.657296948244948 5.6009957597982564792 -22654.797585878623067
3050 2368.4327028557809172 5.6036067684387287358 -22685.88302699153428
3100 2304.397382564702184 5.6065532849696033679 -22588.539561662073538
3150 2334.7244918739743298 5.6087905808347668923 -22553.557462402422971
3200 2372.2873097227811741 5.60940358804273842 -22572.386903416307177
3250 2401.4825985428765307 5.608319878028048322 -22588.213051510781952
3300 2357.6287213921727925 5.6052803803964152962 -22619.757228317157569
3350 2390.4786744160824128 5.6002724410209321348 -22658.27631953799937
3400 2372.1546192139894629 5.5938582509604310999 -22744.789279996730329
3450 2359.7135439746507473 5.587107363344513189 -22826.978915628391405
3500 2333.4098435457171945 5.5814831528965429541 -22831.236281838166178
3550 2357.2100038572489211 5.577913152004783548 -22883.917665945220506
3600 2359.3106702585414496 5.5774973251894195414 -22901.548794050631841
3650 2372.9371705103703789 5.5808977583455252613 -22883.503556716412277
3700 2350.4362182194813613 5.5882548399364555536 -22762.070191434442677
3750 2388.4915607002444631 5.5982916670222380162 -22669.747474016126944
3800 2362.7728032666586842 5.6094261337712056914 -22558.556881284170231
3850 2368.2884204192432662 5.6199908154371236435 -22438.82613275811309
3900 2420.6902853557089657 5.6279579571025761808 -22394.225572419683886
3950 2385.2411656981780652 5.6314314322299612314 -22320.564211626475299
4000 2411.1124533012953179 5.6286128148148932837 -22358.396018645453296
4050 2362.6512658192054914 5.6191879813096745622 -22416.84560633721776
4100 2378.9302363808023983 5.6037489672106808314 -22631.858990624386934
4150 2366.2482331208298092 5.5852894871939540167 -22794.723914897793293
4200 2357.8582377756060851 5.5673429700275072207 -23047.997792119847873
4250 2336.4643518470593335 5.5541715072703770062 -23141.054119285105116
4300 2329.3631236628957595 5.5483563110908598048 -23184.270300390930061
4350 2346.009693824169517 5.55141937985019851 -23189.228089041618659
4400 2340.7398311213014495 5.5637488385018238901 -23055.603238944517216
4450 2369.5202097583605791 5.5835400798583991744 -22846.799245629124925
4500 2356.949300347514054 5.6070574483626227646 -22564.15916266530985
4550 2375.9536671856171779 5.6292224833911710391 -22340.103309401456499
4600 2422.1640933332514578 5.6456507118253460575 -22245.840856169910694
4650 2419.7271002988263717 5.6533961313018163963 -22155.122887653047655
4700 2407.074418799580144 5.6511130705380203665 -22136.732073054470675
4750 2422.288462742190859 5.6395173426561049368 -22310.850612750957225
4800 2348.5653985286026 5.6219352329028904336 -22482.514054993502214
4850 2379.9261396787501326 5.6022040650111772919 -22654.658132321801531
4900 2387.2093954428942197 5.584084314650011649 -22848.094816659933713
4950 2392.7148963148583789 5.570717577559602951 -23023.710623188173486
5000 2363.767873899503229 5.5641581138802029827 -23017.479458986897953
5050 2370.8537047397167044 5.564371229749423442 -23086.651782997061673
5100 2327.5609657881659587 5.5707314603558213406 -22973.955543484931695
5150 2355.4345212130324398 5.5808853204572610451 -22884.77629041941691
5200 2391.7684789811064547 5.5926079670098198804 -22732.901910982298432
5250 2390.7117670132802232 5.6035714502161591 -22646.242297371121822
5300 2379.2493542742536192 5.6122653795885923955 -22517.793684709558875
5350 2433.0962398859551286 5.6174388701056656714 -22516.473121167731733
5400 2386.9830933371808896 5.6189955914374518642 -22490.31483716184448
5450 2412.1313986815398493 5.6170290946286431932 -22524.631687894350762
5500 2355.7536011592551404 5.6123365806232419217 -22550.585506723164144
5550 2368.2984837231142592 5.6062119994750929663 -22613.367383665692614
5600 2373.6267004334085868 5.5998685636461580373 -22662.162869510233577
5650 2362.6109562285182619 5.5941722734826351271 -22746.963437930960936
5700 2315.2910373864820031 5.5903725810639715021 -22790.474685854547715
5750 2368.7972156309074308 5.5888633180563429548 -22832.880705753530492
5800 2385.552123183112144 5.5897559092623385624 -22816.605774231236865
5850 2370.9761653862756248 5.5925192654505613277 -22753.149038647879934
5900 2362.6917129653588745 5.5962554844102294638 -22704.250428132909292
5950 2424.3239804882555291 5.6003049657307295561 -22731.817288559868757
6000 2374.1950356770116741 5.6043857185857355319 -22610.11120610038779
6050 2393.2830776527312082 5.6069215268026679766 -22595.447473969667044
6100 2347.7634293055152739 5.6075986180496908418 -22533.871549385410617
6150 2397.6804972897461994 5.606319064077459835 -22624.76685496526261
6200 2389.7041688412955409 5.6039320370958707329 -22634.637040216064634
6250 2388.149512644153674 5.6006725732741973189 -22660.240950907547813
6300 2397.286528061253648 5.5973257556582396433 -22697.714450942992698
6350 2359.5578786126925479 5.5944948283372539777 -22709.147677888435283
6400 2343.7858734422361522 5.5922918107159125256 -22759.228906501630263
6450 2382.9745664998540633 5.5915135025738500474 -22771.711264937792293
6500 2394.5409289929607439 5.5923379658683760596 -22804.207018237193552
6550 2427.9324039823732164 5.5948339856423991989 -22773.159844961679482
6600 2356.0328171387300245 5.5986135720967702412 -22654.168959883802017
6650 2395.6772276044889622 5.602359404119516384 -22665.21710013230404
6700 2395.6390984921335985 5.6053953587837908046 -22627.014904117058904
6750 2390.9947500108451095 5.6072197052883616664 -22638.419143902072392
6800 2427.2608734918949267 5.6080080382051162857 -22650.221371269188239
6850 2372.0382391946527605 5.6078411069659201971 -22598.229106279763073
6900 2412.0269578896040912 5.6059580457759823346 -22638.313457208405453
6950 2364.2982888465712676 5.6027441187079487506 -22650.6811370947471
7000 2367.8659584712768265 5.5990539641381689151 -22690.890809559485206
7050 2392.7011103222407655 5.5954777272044706748 -22723.015638700842828
7100 2371.0948693464606549 5.5925391089066476269 -22740.149282073420181
7150 2389.7852896763383796 5.5905244820144215367 -22789.155272891064669
7200 2340.8168453919993226 5.5899541383999595823 -22780.248293895416282
7250 2365.6294357440219756 5.5909415143523721881 -22739.330355512789538
7300 2372.9622286652606817 5.5931920599569693309 -22767.009227137859853
7350 2394.3456660214051226 5.5970944933425519352 -22744.628646664088592
7400 2365.157952734319224 5.6023230937944212826 -22653.649315307269717
7450 2353.6871132006835978 5.607398788277118129 -22588.804226191958151
7500 2366.3948928548502408 5.6111076221412172771 -22522.714912660401751
